Team,Arena,Tlat,Tlon,Alat,Alon
University of Alabama,Legacy Arena Birmingham,33.2140233,-87.5391418,33.5237958,-86.8128958
University of Maryland,Legacy Arena Birmingham,38.978174,-76.928451,33.5237958,-86.8128958
West Virginia University,Legacy Arena Birmingham,39.65404635,-79.96475355,33.5237958,-86.8128958
Southeast Missouri State University,Legacy Arena Birmingham,37.3126218,-89.5311135,33.5237958,-86.8128958
Texas A&M University at Corpus Christi,Legacy Arena Birmingham,27.71275135,-97.32338771,33.5237958,-86.8128958
San Diego State University,Amway Center Orlando,32.7761529,-117.0733037,28.53927385,-81.38400714
College of Charleston,Amway Center Orlando,32.7836117,-79.9371762,28.53927385,-81.38400714
Furman University,Amway Center Orlando,34.92577435,-82.43852581,28.53927385,-81.38400714
University of Virginia,Amway Center Orlando,38.0410576,-78.5054996,28.53927385,-81.38400714
Princeton University,Golden 1 Center Sacramento,40.3439888,-74.6514481,38.58014045,-121.4995008
University of Arizona,Golden 1 Center Sacramento,33.45205165,-112.0636789,38.58014045,-121.4995008
Utah State University,Golden 1 Center Sacramento,41.7527021,-111.8087342,38.58014045,-121.4995008
University of Missouri,Golden 1 Center Sacramento,38.94429415,-92.32647881,38.58014045,-121.4995008
UC Santa Barbara,Ball Arena Denver,34.41460245,-119.84581,39.7486838,-105.007544
Baylor University in Waco,Ball Arena Denver,31.5502965,-97.11712272,39.7486838,-105.007544
North Carolina State University,Ball Arena Denver,36.037694,-79.035584,39.7486838,-105.007544
Creighton University,Ball Arena Denver,41.26585655,-95.94505554,39.7486838,-105.007544
