Arena,Latitude,Longitude
NRG Stadium Houston,29.6848581,-95.41080145
KFC Yum! Center Louisville,38.25769635,-85.75385992
T-Mobile Center Kansas City,39.0972952,-94.57994952
T-Mobile Arena Las Vegas,36.10267805,-115.1782239
Madison Square Garden New York,40.7505045,-73.9934387
Greensboro Coliseum Greensboro,36.0440568,-79.84686958
Ball Arena Denver,39.7486838,-105.007544
Nation Wide Arena Columbus,39.969213,-83.006059
MVP Arena Albany,42.6484107,-73.75475963
Golden 1 Center Sacramento,38.58014045,-121.4995008
Amway Center Orlando,28.53927385,-81.38400714
Wells Fargo Arena Des Moines,41.59250815,-93.62107232
Legacy Arena Birmingham,33.5237958,-86.8128958
UD Arena Dayton,39.7393,-84.179967
