Name;Latitude;Longitude
Phoenix Arizona;33.4483771;-112.0740373
Arlington Texas;32.735687;-97.1080656
Detroit Michigan;42.331427;-83.0457538
St. Petersburg Florida;27.7518284;-82.6267345
San Antonio Texas;29.4241219;-98.4936282
East Rutherford New Jersey;40.833989;-74.0970865
Charlotte North Carolina;35.2270869;-80.8431267
Denver Colorado;39.7392358;-104.990251
Dallas Texas;32.7766642;-96.7969879
Lexington Kentucky;38.0405837;-84.5037164
Albuquerque New Mexico;35.0853336;-106.6055534
New Orleans Louisiana;29.9510658;-90.0715323
Indianapolis Indiana;39.768403;-86.158068
Salt Lake City Utah;40.7607793;-111.8910474
Atlanta Georgia;33.7489954;-84.3879824
Philadelphia Pennsylvania;39.9525839;-75.1652215
San Diego California;32.715738;-117.1610838
Greensboro North Carolina;36.0726354;-79.7919754
St. Louis Missouri;38.6270025;-90.1994042
Houston Texas;29.7604267;-95.3698028
Los Angeles California;34.0522342;-118.2436849
College Park Maryland;38.9896967;-76.93776
Portland Oregon;45.5230622;-122.6764816
Daly City California;37.6879241;-122.4702079
Louisville Kentucky;38.2526647;-85.7584557
Minneapolis Minnesota;44.977753;-93.2650108
Seattle Washington;47.6062095;-122.3320708
New York New York;40.7127837;-74.0059413
Kansas City Missouri;39.0997265;-94.5785667
Evanston Illinois;42.0450722;-87.6876969
