Team,Arena,Tlat,Tlon,Alat,Alon
Vermont,Nation Wide Arena Columbus,44.4737365,-73.1941468,39.969213,-83.006059
Vermont,Greensboro Coliseum Greensboro,44.4737365,-73.1941468,36.0440568,-79.84686958
Vermont,NRG Stadium Houston,44.4737365,-73.1941468,29.6848581,-95.41080145
Vermont,Madison Square Garden,44.4737365,-73.1941468,40.7505045,-73.9934387
Vermont,Amway Center Orlando,44.4737365,-73.1941468,28.53927385,-81.38400714
Marquette,Nation Wide Arena Columbus,43.03888115,-87.93158327,39.969213,-83.006059
Marquette,NRG Stadium Houston,43.03888115,-87.93158327,29.6848581,-95.41080145
Marquette,Madison Square Garden,43.03888115,-87.93158327,40.7505045,-73.9934387
Marquette,Greensboro Coliseum Greensboro,43.03888115,-87.93158327,36.0440568,-79.84686958
Marquette,Amway Center Orlando,43.03888115,-87.93158327,28.53927385,-81.38400714
USC,Nation Wide Arena Columbus,34.0218833,-118.2858666,39.969213,-83.006059
USC,NRG Stadium Houston,34.0218833,-118.2858666,29.6848581,-95.41080145
USC,Madison Square Garden,34.0218833,-118.2858666,40.7505045,-73.9934387
USC,Greensboro Coliseum Greensboro,34.0218833,-118.2858666,36.0440568,-79.84686958
USC,Amway Center Orlando,34.0218833,-118.2858666,28.53927385,-81.38400714
Michigan St.,Nation Wide Arena Columbus,42.7024238,-84.48032838,39.969213,-83.006059
Michigan St.,Madison Square Garden,42.7024238,-84.48032838,40.7505045,-73.9934387
Michigan St.,NRG Stadium Houston,42.7024238,-84.48032838,29.6848581,-95.41080145
Michigan St.,Greensboro Coliseum Greensboro,42.7024238,-84.48032838,36.0440568,-79.84686958
Michigan St.,Amway Center Orlando,42.7024238,-84.48032838,28.53927385,-81.38400714
Michigan St.,Madison Square Garden,42.7024238,-84.48032838,40.7505045,-73.9934387
Montana St.,Greensboro Coliseum Greensboro,45.66381885,-111.0793057,36.0440568,-79.84686958
Montana St.,NRG Stadium Houston,45.66381885,-111.0793057,29.6848581,-95.41080145
Montana St.,Madison Square Garden,45.66381885,-111.0793057,40.7505045,-73.9934387
Montana St.,Nation Wide Arena Columbus,45.66381885,-111.0793057,39.969213,-83.006059
Montana St.,Amway Center Orlando,45.66381885,-111.0793057,28.53927385,-81.38400714
Kansas St.,Greensboro Coliseum Greensboro,39.1974437,-96.5847249,36.0440568,-79.84686958
Kansas St.,NRG Stadium Houston,39.1974437,-96.5847249,29.6848581,-95.41080145
Kansas St.,Madison Square Garden,39.1974437,-96.5847249,40.7505045,-73.9934387
Kansas St.,Nation Wide Arena Columbus,39.1974437,-96.5847249,39.969213,-83.006059
Kansas St.,Amway Center Orlando,39.1974437,-96.5847249,28.53927385,-81.38400714
