REGION,MATCHUP.KEY,GAME.KEY,TEAM,SEED,PREDICTIONS,WINNER
E,A,A,Purdue,1,0.009236699879938845,NA
E,A,H,Memphis,8,0.009883921388065122,TRUE
E,B,D,Tennessee,4,0.007754175293533358,NA
E,B,E,Duke,5,0.009884325749355275,TRUE
E,C,C,Kansas St.,3,0.008703824096547685,TRUE
E,C,F,Providence,11,0.006761033486683327,NA
E,D,B,Marquette,2,0.01009604768777835,TRUE
E,D,G,Michigan St.,7,0.009214262371116284,NA
MW,A,A,Houston,1,0.00980735275814988,TRUE
MW,A,H,Auburn,9,0.008454102092740733,NA
MW,B,D,Indiana,4,0.007816814415608135,NA
MW,B,E,Miami FL,5,0.008586015880800933,TRUE
MW,C,C,Xavier,3,0.0091030596197849,TRUE
MW,C,F,Iowa St.,6,0.0068119021503994775,NA
MW,D,B,Texas,2,0.009810689852537306,TRUE
MW,D,G,Penn St.,10,0.00826040641199946,NA
S,A,A,Alabama,1,0.011900336915098715,TRUE
S,A,H,Maryland,8,0.008050435123468199,NA
S,B,D,Virginia,4,0.006203143373360755,NA
S,B,E,San Diego St.,5,0.009641497845606568,TRUE
S,C,C,Baylor,3,0.01011940004307343,NA
S,C,F,Creighton,6,0.010600419242365914,TRUE
S,D,B,Arizona,2,0.008654839510042894,TRUE
S,D,G,Utah St.,10,0.00789824798234445,NA
W,A,A,Kansas,1,0.008556932339094568,TRUE
W,A,H,Arkansas,8,0.006837114400190105,NA
W,B,D,Connecticut,4,0.010691011191352011,TRUE
W,B,E,Saint Mary's,5,0.008154744220934606,NA
W,C,C,Gonzaga,3,0.008059016986242045,TRUE
W,C,F,TCU,6,0.007838296715258352,NA
W,D,B,UCLA,2,0.009705052930208374,TRUE
W,D,G,Northwestern,7,0.0075648689856749034,NA
