REGION,MATCHUP.KEY,GAME.KEY,TEAM,SEED,PREDICTIONS,WINNER
E,A,H,Memphis,8,0.009883921388065122,NA
E,B,E,Duke,5,0.009884325749355275,TRUE
E,C,C,Kansas St.,3,0.008703824096547685,NA
E,D,B,Marquette,2,0.01009604768777835,TRUE
MW,A,A,Houston,1,0.00980735275814988,TRUE
MW,B,E,Miami FL,5,0.008586015880800933,NA
MW,C,C,Xavier,3,0.0091030596197849,NA
MW,D,B,Texas,2,0.009810689852537306,TRUE
S,A,A,Alabama,1,0.011900336915098715,TRUE
S,B,E,San Diego St.,5,0.009641497845606568,NA
S,C,F,Creighton,6,0.010600419242365914,TRUE
S,D,B,Arizona,2,0.008654839510042894,NA
W,A,A,Kansas,1,0.008556932339094568,NA
W,B,D,Connecticut,4,0.010691011191352011,TRUE
W,C,C,Gonzaga,3,0.008059016986242045,NA
W,D,B,UCLA,2,0.009705052930208374,TRUE
