Team,Arena,Tlat,Tlon,Alat,Alon
University of North Carolina at Asheville,Golden 1 Center Sacramento,35.596588,-82.554901,38.58014045,-121.4995008
UCLA,Golden 1 Center Sacramento,34.068921,-118.4451811,38.58014045,-121.4995008
Boise State University,Golden 1 Center Sacramento,43.6041412,-116.2033059,38.58014045,-121.4995008
Northwestern University,Golden 1 Center Sacramento,42.0551164,-87.67581113,38.58014045,-121.4995008
Grand Canyon University,Ball Arena Denver,33.51313155,-112.1297517,39.7486838,-105.007544
Gonzaga University,Ball Arena Denver,47.6662634,-117.4030666,39.7486838,-105.007544
University of Nevada,Ball Arena Denver,39.5469449,-119.8134657,39.7486838,-105.007544
Arizona State University,Ball Arena Denver,33.4213174,-111.9331593,39.7486838,-105.007544
Texas Christian University,Ball Arena Denver,32.7080148,-97.36119385,39.7486838,-105.007544
Iona University,MVP Arena Albany,40.9271,-73.7863,42.6484107,-73.75475963
University of Connecticut,MVP Arena Albany,41.82175755,-72.24277536,42.6484107,-73.75475963
Virginia Commonwealth University,MVP Arena Albany,37.548215,-77.45306422,42.6484107,-73.75475963
Saint Mary's College,MVP Arena Albany,41.70747445,-86.25627359,42.6484107,-73.75475963
University of Illinois Urbana-Champaign,Wells Fargo Arena Des Moines,40.09911835,-88.23851576,41.59250815,-93.62107232
University of Arkansas,Wells Fargo Arena Des Moines,36.09352375,-94.17708979,41.59250815,-93.62107232
Howard University,Wells Fargo Arena Des Moines,38.9218972,-77.01959315,41.59250815,-93.62107232
University of Kansas,Wells Fargo Arena Des Moines,38.9534918,-95.2630888,41.59250815,-93.62107232
