YEAR,CONFERENCE,B ADJ EM,B ADJ O,B ADJ D,BARTHAG,WAB,CONFERENCE NUMBER
2023,B12,17.6,111.9,93.8,0.8847,3.3,1
2023,B10,13.1,110.2,96.5,0.8207,0,2
2023,SEC,12.2,109.3,96.5,0.8064,-0.4,3
2023,BE,11.7,110.3,98.1,0.7947,-1.2,4
2023,P12,10.4,107.8,96.7,0.7764,-2.2,5
2023,MWC,9.8,109,98.5,0.7626,-2.2,6
2023,Amer,7.7,107,98.8,0.7153,-4.1,7
2023,WCC,7.5,109.3,101.3,0.7052,-4,8
2023,ACC,7.3,108.5,100.8,0.7005,-3.9,9
2023,CUSA,2.8,104.7,101.8,0.5814,-6.3,10
2023,WAC,1.7,103.9,101.7,0.5592,-6.8,11
2023,A10,1.5,103.2,101.7,0.5424,-8,12
2023,SB,0,102.7,102.5,0.5031,-8.2,13
2023,Ivy,-0.3,102.6,103,0.4883,-7.7,14
2023,MVC,-0.8,101.8,102.8,0.4746,-8.8,15
2023,BW,-1.4,101.2,102.3,0.4671,-9.4,16
2023,MAC,-2.9,103.9,106.7,0.4232,-9.7,17
2023,ASun,-2.9,103.2,106.1,0.4223,-8.7,18
2023,BSky,-3.1,103.2,106.2,0.4194,-10.6,19
2023,SC,-4,102.6,106.7,0.39,-10.8,20
2023,MAAC,-4.9,99.6,104.9,0.3566,-11.2,21
2023,BSth,-5.6,100.8,106.6,0.3435,-11.4,22
2023,Sum,-6,101.8,107.8,0.3421,-10.3,23
2023,CAA,-6,99.8,105.9,0.336,-11,24
2023,AE,-6.2,100.9,107.3,0.3294,-10.7,25
2023,Horz,-6.7,100.8,107.6,0.3197,-11.7,26
2023,Pat,-7.4,99,106.8,0.2957,-12.4,27
2023,OVC,-9.8,98.4,108.7,0.2426,-12.6,28
2023,MEAC,-10.2,97.2,107.6,0.2385,-11.4,29
2023,Slnd,-11.3,99.1,110.6,0.2203,-12.9,30
2023,SWAC,-11.9,94.5,106.3,0.2055,-13.3,31
2023,NEC,-15.4,94.1,110,0.1424,-14.2,32
2023,ind,-19.1,94.6,114.2,0.1032,-16.3,33
