YEAR,SEED,TEAM,TEAM ROUND,CURRENT ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,TEAM
2023,1,Alabama,0,0,26.9363,115.832,88.896,72.77,27.588,116.981,89.393,0.957,33.867,72.704,54.6,33.8,72.6,52.7,36.7,47.8,54.8,33.8,72.4,11.3,19,41.2,28.1,71.4,41.5,32.8,30.6,41.8,27.6,66.2,11.4,16,10.6,85.29411765,1.106,0.922,Alabama
2023,1,Houston,0,0,29.8743,118.854,88.9798,63.3827,28.29,118.26,89.97,0.959,23.551,63.262,53.2,34.5,71.9,52.7,28.5,37.8,53.8,37.1,72.6,16.4,15.3,43.1,27.8,69,42.5,35.8,43.7,53.6,27.4,62.9,6.6,22,8.4,91.17647059,1.158,0.872,Houston
2023,1,Kansas,0,0,23.1345,114.703,91.5684,69.2256,21.359,113.75,92.391,0.916,38.469,69.116,52.9,34.4,71.7,52.4,29.8,34.1,59.5,28.4,71.7,10,17.5,47.2,31.2,72.3,47.1,31.2,35.1,46.2,28.3,71.6,7.3,20.2,10.5,79.41176471,1.062,0.963,Kansas
2023,1,Purdue,0,0,24.7732,119.951,95.1774,64.2174,25.247,119.495,94.248,0.939,29.575,64.077,54.1,32.6,74.3,52.2,37.2,38.1,60.9,38.3,76.7,9.7,17,47.4,31.4,73.6,47.2,19.3,35.4,51.5,23.3,61.7,8.6,15.4,9.2,85.29411765,1.135,0.974,Purdue
2023,2,Arizona,0,0,22.8757,120.078,97.2023,72.2672,23.914,120.45,96.536,0.927,28.591,72.427,56.6,38.2,70.9,56.8,36.5,38,65.3,31.1,73.8,8.3,18.4,45.9,32.8,71.4,47.2,26,38.7,49.4,26.2,68.9,9.3,16.9,7.5,82.35294118,1.134,0.981,Arizona
2023,2,Marquette,0,0,21.828,119.388,97.5602,68.3156,21.894,119.053,97.159,0.912,28.741,68.627,58.8,34.8,72.1,56,27.1,41.9,59.3,26.5,67.9,8.7,15.2,50,35.2,69.8,51.1,29,37.5,58.6,32.1,73.5,9.6,22.8,7.5,82.35294118,1.132,1,Marquette
2023,2,Texas,0,0,24.5713,116.675,92.1042,69.0756,23.483,115.861,92.378,0.931,35.178,68.797,53.8,33.9,75.2,52.7,31.5,35,57.1,28.3,70.6,10.1,16.5,47.2,32.7,72.4,47.8,34.5,35.4,48.3,29.4,71.7,8.3,22.8,8,76.47058824,1.095,0.948,Texas
2023,2,UCLA,0,0,27.6504,114.976,87.3259,66.2291,25.071,113.602,88.531,0.946,28.128,66.345,50.4,34.7,72.2,50.9,27.1,29.1,50.9,33.7,72.4,11.9,15.3,46.8,31.1,69.7,46.8,27.6,39.3,51.3,27.6,66.3,6.3,23.6,8.4,85.29411765,1.098,0.896,UCLA
2023,3,Baylor,0,0,19.9863,121.947,101.961,66.5058,22.328,123.104,100.776,0.909,37.117,67.01,50.8,37.2,74.9,53.1,37.2,45.3,56.4,34.7,68.9,6.8,18.1,53.3,32.2,70.7,51.4,31.4,37.8,60.4,31.1,65.3,9.3,19.9,5.7,68.75,1.132,1.031,Baylor
2023,3,Gonzaga,0,0,24.3204,124.087,99.7671,70.0237,25.526,125.2,99.674,0.932,27.36,70.016,59,38.4,70.2,58.5,34.2,32.8,50.7,31.1,74,9,14.6,51.2,35,73.5,51.7,26.7,39.4,45.3,26,68.9,5.6,18.8,7.1,84.375,1.205,1.029,Gonzaga
2023,3,Kansas St.,0,0,18.3145,112.608,94.2939,70.1663,17.872,111.588,93.716,0.882,31.543,69.978,51.8,34.0,75,51.5,37,36.3,64,31.1,70.8,7.7,20,48.8,30.1,69.2,47.5,36.7,36.8,56,29.2,68.9,10.6,20.7,4.7,71.875,1.051,0.961,Kansas St.
2023,3,Xavier,0,0,19.69,119.389,99.6988,70.312,19.483,119.185,99.702,0.886,30.165,70.436,54,39.5,71.4,55.6,30.8,31.3,63.8,31.8,74.6,7.8,17.5,48.7,35.9,72.4,50.4,27.1,34.2,54.3,25.4,68.2,9.4,16.5,5.1,73.52941176,1.129,1.027,Xavier
2023,4,Connecticut,0,0,25.3456,119.52,94.1749,66.6423,25.685,119.813,94.128,0.941,28.353,66.98,53.4,35.7,75.4,53.5,31.4,42,62.6,39.2,73.8,12.9,18.9,45.8,30,73.6,45.5,38.7,30.3,41,26.2,60.8,8.3,19.4,5,75.75757576,1.144,0.949,Connecticut
2023,4,Indiana,0,0,17.3507,114.701,97.3498,68.093,16.194,113.595,97.401,0.854,32.03,68.139,53.2,37.0,71.2,53.8,30.1,26.3,54.2,28,72.1,13.5,16.9,45.7,33.2,70.5,47.3,30.6,38.2,48.1,27.9,72.0,7.3,16.3,3.3,66.66666667,1.092,0.996,Indiana
2023,4,Tennessee,0,0,24.6923,112.764,88.0712,65.4804,24.166,112.386,88.22,0.942,28.574,65.582,51,32.9,71.4,50.3,30.9,40.4,66.2,36.8,73.1,11.8,18.1,44.6,26.2,72.2,42.4,34.9,41.6,50.1,26.9,63.2,8.5,22.2,3.1,69.6969697,1.08,0.873,Tennessee
