YEAR,SEED,TEAM,ROUND,POINTS PER GAME,WIN % (CLOSE GAMES),AWAY WIN %,NEUTRAL WIN %,AWAY - NEUTRAL WIN %,SCORING MARGIN,B ADJ O RANK DIFFERENCE,B ADJ D RANK DIFFERENCE,TOV %,TOV % RANK,3PT %,3PT % DEFENSE,PLOT ID
2023,1,Alabama,0,82.2,100,75,71.42857143,73.68421053,13.5,,,,,,,1
2023,1,Houston,0,75.3,75,100,80,93.75,19.4,,,,,,,1
2023,1,Kansas,0,74.9,90,63.6,71.42857143,66.66666667,7,,,,,,,1
2023,1,Purdue,0,73.3,81.8,70,100,83.33333333,10.6,,,,,,,1
2023,2,Arizona,0,82.7,83.3,60,100,76.47058824,11.2,,,,,,,1
2023,2,Marquette,0,79.9,54.6,66.7,80,70.58823529,9.4,,,,,,,1
2023,2,Texas,0,77.9,87.5,40,83.33333333,56.25,10.4,,,,,,,1
2023,2,UCLA,0,73.9,60,81.8,50,70.58823529,13.6,,,,,,,1
2023,3,Baylor,0,77.2,66.7,50,60,53.33333333,6.9,,,,,,,1
2023,3,Gonzaga,0,86.5,71.4,77.8,75,76.47058824,12.6,,,,,,,1
2023,3,Kansas St.,0,75.5,71.4,36.4,75,46.66666667,6.5,,,,,,,1
2023,3,Xavier,0,81.4,60,63.6,50,58.82352941,7.4,,,,,,,1
2023,4,Connecticut,0,78.5,0,54.6,80,62.5,13.4,,,,,,,1
2023,4,Indiana,0,75,60,41.7,50,43.75,6.6,,,,,,,1
2023,4,Tennessee,0,71.8,42.9,40,71.42857143,52.94117647,13.8,,,,,,,1
2023,4,Virginia,0,67.8,75,54.6,80,62.5,7.6,,,,,,,1
2023,5,Duke,0,72.5,77.8,40,75,55.55555556,8.6,,,,,,,1
2023,5,Miami FL,0,79.4,63.6,63.6,50,60,7.3,,,,,,,1
2023,5,Saint Mary's,0,71,37.5,75,57.14285714,66.66666667,11,,,,,,,1
2023,5,San Diego St.,0,71.3,88.9,80,57.14285714,70.58823529,7.5,,,,,,,1
2023,6,Creighton,0,76.6,33.3,45.5,42.85714286,44.44444444,8.2,,,,,,,1
2023,6,Iowa St.,0,68.4,50,27.3,60,37.5,5.7,,,,,,,1
2023,6,Kentucky,0,75.1,66.7,66.7,25,50,7,,,,,,,1
2023,6,TCU,0,75.2,54.6,36.4,83.33333333,50,7.3,,,,,,,1
2023,7,Michigan St.,0,70.2,75,45.5,40,41.17647059,2.8,,,,,,,1
