YEAR,SEED,TEAM,TEAM ROUND,CURRENT ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,SCORE,ID,TEAM
2022,1,Gonzaga,16,64,33.0,121.8,88.8,72.5,31.8,120.2,88.4,0.972,24.98,73.8,60.9,37.9,73.1,59.4,29.7,35.4,55,29,77,13.4,15.9,41.6,30.7,69.5,43.2,22.2,33.9,40.6,23,71,6.6,17,6.7,89.66,1.19,0.885,93,1,Gonzaga
2022,16,Georgia St.,64,64,1.8,101.5,99.7,67.1,1.4,100.8,99.4,0.54,12.18,68.2,43.1,32.3,71.6,45.1,30.2,36.9,52.5,32.8,69.3,12.5,16.9,45.4,37.9,70,49.7,32.8,38.1,56.7,30.7,67.2,8.9,22.7,-5.2,60.00,0.993,0.978,72,2,Georgia St.
2022,8,Boise St.,64,64,16.4,108.4,92.0,64.6,15.2,106.9,91.7,0.854,21.58,65.7,51.1,34.1,65,51.1,35.2,38.6,46.8,30.6,78.1,9.8,18.5,48,32.4,72.1,48.2,25.8,33.2,43.3,21.9,69.4,8.9,20.1,3.5,78.79,1.038,0.928,53,3,Boise St.
2022,9,Memphis,32,64,16.2,110.4,94.1,70.3,17.5,110.3,92.8,0.879,26.09,71.5,52,35.9,69.2,52.6,38.4,30.8,59.6,37.5,69,16.8,22.9,45.3,32.1,70,46.5,32.9,42.8,57,31,62.5,9.1,20.9,1.4,67.74,1.056,0.957,64,4,Memphis
2022,5,Connecticut,64,64,19.3,113.9,94.6,64.9,18.6,113,94.4,0.888,27.68,66.2,47.8,35.3,75,49.6,30.6,34.2,52.2,38,72.5,16.7,17.4,42.8,34.5,68,45.7,31.9,32.6,44.2,27.5,62,8.3,18,3.2,71.88,1.099,0.953,63,5,Connecticut
2022,12,New Mexico St.,32,64,10.1,107.8,97.7,66.2,8.6,106,97.4,0.726,14.90,67.3,54.1,33,69.5,52.2,35.4,41.1,53.6,33.3,73.8,12.9,20.7,45.8,30,74.2,45.5,27.8,42.6,48.2,26.2,66.7,6.3,16.9,0.7,79.31,1.05,0.958,70,6,New Mexico St.
2022,4,Arkansas,8,64,19.0,111.1,92.1,70.6,17.2,109.2,92,0.878,27.26,71.7,50.9,30.7,75.3,49.2,37.9,34.3,52.9,30.9,74.2,11.9,17.4,46.4,32.8,73.2,47.5,32.3,39.2,54.4,25.8,69.1,8.7,20.6,4.5,75.76,1.06,0.945,75,7,Arkansas
2022,13,Vermont,64,64,13.1,110.8,97.7,65.0,12.1,109.7,97.6,0.793,8.45,65.9,58.9,36.8,74.7,57.3,26.6,43.1,54.9,24,81.4,7,14.9,45.2,34.4,68.4,47.7,22.6,37.6,43.5,18.6,76,8.9,17.1,-0.8,84.38,1.143,0.928,71,8,Vermont
2022,6,Alabama,64,64,17.4,116.1,98.7,71.7,17.8,115.9,98.1,0.872,34.86,72.8,56.3,30.8,73,51.5,33.6,48,52.9,35.5,69.3,11.9,19.8,49.3,33.1,71.2,49.4,35.2,35.9,46.2,30.7,64.5,11.5,17.7,2,59.38,1.087,1.039,64,9,Alabama
2022,11,Notre Dame,32,64,13.6,112.0,98.4,65.7,14.8,111.8,97,0.837,27.58,66.6,52,37.8,75.9,54,27.7,43.1,55.4,22.1,76,4.8,15.5,49.9,31.7,69.3,49.1,22.9,35.3,44.1,24,77.9,9.1,15,1.8,67.74,1.083,1.007,78,10,Notre Dame
2022,3,Texas Tech,16,64,24.6,109.7,85.1,66.5,22.9,109.3,86.4,0.937,35.60,67.4,55.1,31.4,69.9,52.4,36.1,34.4,52.3,33.3,73.9,11.9,20.3,44.3,31.3,68.3,45.5,32.1,45.6,53.8,26.1,66.7,7.2,23.6,6.5,73.53,1.051,0.884,97,11,Texas Tech
2022,14,Montana St.,64,64,3.8,104.5,100.7,67.3,2.2,103,100.8,0.562,7.97,68,53.2,37.2,74.8,54.1,40.5,36,47.3,26.7,76.7,10.4,18.5,48.2,32.8,75.8,48.6,36.2,35.9,38.8,23.3,73.3,8.1,18.3,-2.8,78.13,1.084,0.99,62,12,Montana St.
2022,7,Michigan St.,32,64,14.9,111.3,96.4,67.5,15.6,110.7,95.1,0.852,32.42,68.7,49.7,37.8,74.7,52,30.4,33.4,60.7,30.7,73,13.4,19.2,47.9,31.2,70.9,47.5,28.3,37.8,51.7,27,69.3,8.7,15.3,2.9,64.71,1.059,1.006,74,13,Michigan St.
2022,10,Davidson,64,64,14.8,116.8,102.0,64.6,14.2,115.2,101,0.82,16.89,65.7,54.2,38.4,75.7,55.6,32.9,41.1,55,23.6,77.8,8.4,14.8,48.4,33.8,74.1,49.4,28,43.8,51.9,22.2,76.4,7.1,16.9,2.1,81.25,1.132,0.998,73,14,Davidson
