YEAR,SEED,TEAM,ROUND,POINTS PER GAME,WIN % (CLOSE GAMES),AWAY WIN %,NEUTRAL WIN %,AWAY - NEUTRAL WIN %,SCORING MARGIN,B ADJ O RANK DIFFERENCE,B ADJ D RANK DIFFERENCE,TOV %,TOV % RANK,3PT %,3PT % DEFENSE,PLOT ID
2022,1,Kansas,1,78.6,75,60,85.7,70.6,10.4,,,,,,,1
2021,1,Gonzaga,2,92.1,100,100,100.0,100.0,23,,,,,,,1
2021,1,Baylor,1,84.4,100,87.5,80.0,84.6,18,,,,,,,1
2019,1,Virginia,1,71.8,75,90.9,80.0,87.5,16.8,,,,,,,1
2018,1,Villanova,1,86.6,50,75,100.0,85.7,16.2,,,,,,,1
2018,1,Kansas,4,81.4,80,72.7,100.0,81.3,10.6,,,,,,,1
2017,1,Gonzaga,2,84.6,100,100,100.0,100.0,23.4,,,,,,,1
2017,1,North Carolina,1,84.3,75,54.6,60.0,58.8,13.4,,,,,,,1
2016,1,North Carolina,2,82.3,50,54.6,100.0,72.2,12.7,,,,,,,1
2015,1,Kentucky,4,74.8,100,100,100.0,100.0,21.1,,,,,,,1
2015,1,Wisconsin,2,71.6,66.7,83.3,100.0,88.9,15.9,,,,,,,1
2015,1,Duke,1,80.6,75,81.8,83.3,82.4,15,,,,,,,1
2014,1,Florida,4,71,85.7,83.3,100.0,88.2,13.2,,,,,,,1
2013,1,Louisville,1,73.6,55.6,72.7,85.7,77.8,15.6,,,,,,,1
2012,1,Kentucky,1,77.1,75,88.9,85.7,87.5,18.4,,,,,,,1
2010,1,Duke,1,78.4,50,50,100.0,68.8,16.6,,,,,,,1
2009,1,Connecticut,4,77.3,100,90,83.3,87.5,13.4,,,,,,,1
2009,1,North Carolina,1,89.4,50,84.6,83.3,81.3,16.5,,,,,,,1
2008,1,North Carolina,4,88.7,85.7,100,100.0,100.0,16,,,,,,,1
2008,1,Kansas,1,81.2,60,72.7,100.0,78.6,19.5,,,,,,,1
2008,1,Memphis,2,79.7,66.7,100,100.0,100.0,19.1,,,,,,,1
2008,1,UCLA,4,74,85.7,90,100.0,92.3,14.4,,,,,,,1
2022,2,Duke,4,80.2,55.6,81.8,80.0,81.3,13,,,,,,,1
2022,2,Villanova,4,72.6,71.4,61.5,83.3,70.0,9.5,,,,,,,1
2021,2,Houston,4,75.7,50,62.5,100.0,75.0,17.2,,,,,,,1
2019,2,Michigan St.,4,79.2,16.7,66.7,83.3,72.2,13.5,,,,,,,1
2016,2,Villanova,1,77,75,83.3,66.7,77.8,13.3,,,,,,,1
2016,2,Oklahoma,4,80.4,61.5,58.3,80.0,64.7,10,,,,,,,1
2014,2,Wisconsin,4,73.5,71.4,72.7,80.0,75.0,9,,,,,,,1
2012,2,Ohio St.,4,75.1,42.9,63.6,66.7,64.3,16.3,,,,,,,1
2012,2,Kansas,2,75,75,80,50.0,68.8,13.1,,,,,,,1
2010,2,West Virginia,4,73,70,63.6,100.0,77.8,9.2,,,,,,,1
2009,2,Michigan St.,2,71.9,75,90.9,62.5,77.8,9,,,,,,,1
2019,3,Texas Tech,2,73.1,60,66.7,60.0,64.3,13.8,,,,,,,1
2018,3,Michigan,2,72.9,40,54.6,85.7,66.7,10.1,,,,,,,1
2017,3,Oregon,4,78.7,66.7,70,71.4,70.6,13.3,,,,,,,1
2011,3,Connecticut,1,73.4,75,50,100.0,72.2,7,,,,,,,1
2009,3,Villanova,4,76.5,75,72.7,60.0,68.8,9.5,,,,,,,1
2013,4,Michigan,2,74.4,57.1,50,80.0,60.0,11.4,,,,,,,1
2013,4,Syracuse,4,71.3,55.6,50,66.7,56.3,11.3,,,,,,,1
2012,4,Louisville,4,68.8,50,54.6,100.0,66.7,7.7,,,,,,,1
2011,4,Kentucky,4,76.6,14.3,36.4,85.7,55.6,12.5,,,,,,,1
2019,5,Auburn,4,78.7,60,40,85.7,61.1,10,,,,,,,1
2010,5,Michigan St.,4,72.6,57.1,66.7,33.3,60.0,8.9,,,,,,,1
2010,5,Butler,2,70.1,87.5,92.3,25.0,76.5,10.1,,,,,,,1
2017,7,South Carolina,4,71.5,50,54.6,33.3,100.0,6.9,,,,,,,1
2015,7,Michigan St.,4,72,44.4,63.6,57.1,61.1,9.1,,,,,,,1
2014,7,Connecticut,1,71.9,72.7,63.6,83.3,68.8,8.7,,,,,,,1
2022,8,North Carolina,2,77.5,50,72.7,20.0,56.3,5.8,,,,,,,1
2014,8,Kentucky,2,76.4,22.2,50,50.0,50.0,9.6,,,,,,,1
2011,8,Butler,2,72.5,50,53.9,83.3,61.1,7.5,,,,,,,1
2013,9,Wichita St.,4,69.4,50,58.3,83.3,66.7,8.7,,,,,,,1
2016,10,Syracuse,4,70.2,42.9,30,75.0,40.0,4.5,,,,,,,1
2021,11,UCLA,4,72.8,72.7,45.5,25.0,42.9,4.3,,,,,,,1
2018,11,Loyola Chicago,4,70.9,50,69.2,100.0,77.8,9.7,,,,,,,1
2011,11,VCU,4,71.5,57.1,53.9,66.7,60.0,4.1,,,,,,,1
2013,1,Kansas,16,,,,,,,64,,,,,,2
2012,1,Michigan St.,16,,,,,,,39,,,,,,2
2011,1,Pittsburgh,32,,,,,,,32,,,,,,2
2021,2,Alabama,16,,,,,,,31,,,,,,2
2016,2,Xavier,32,,,,,,,32,,,,,,2
2022,3,Tennessee,32,,,,,,,36,,,,,,2
2022,3,Texas Tech,16,,,,,,,106,,,,,,2
2013,3,Marquette,8,,,,,,,49,,,,,,2
2008,3,Xavier,8,,,,,,,38,34,,,,,2
2021,4,Purdue,64,,,,,,,39,,,,,,2
2019,4,Kansas,32,,,,,,,50,33,,,,,2
2019,4,Virginia Tech,16,,,,,,,34,,,,,,2
2014,4,UCLA,16,,,,,,,49,,,,,,2
2013,4,Saint Louis,32,,,,,,,64,,,,,,2
2008,4,Vanderbilt,64,,,,,,,69,,,,,,2
2008,4,Pittsburgh,32,,,,,,,33,,,,,,2
2022,5,Saint Mary's,32,,,,,,,55,,,,,,2
2021,5,Tennessee,64,,,,,,,48,,,,,,2
2021,5,Colorado,32,,,,,,,56,,,,,,2
2021,5,Creighton,16,,,,,,,32,,,,,,2
2019,5,Mississippi St.,64,,,,,,,73,,,,,,2
2019,5,Auburn,4,,,,,,,42,,,,,,2
2017,5,Minnesota,64,,,,,,,44,,,,,,2
2016,5,Maryland,16,,,,,,,32,,,,,,2
2015,5,West Virginia,16,,,,,,,88,,,,,,2
2015,5,Utah,16,,,,,,,46,,,,,,2
2014,5,VCU,64,,,,,,,44,,,,,,2
2013,5,Wisconsin,64,,,,,,,51,,,,,,2
2011,5,Arizona,8,,,,,,,35,,,,,,2
2010,5,Texas A&M,32,,,,,,,30,,,,,,2
2009,5,Purdue,16,,,,,,,47,,,,,,2
2009,5,Utah,64,,,,,,,55,,,,,,2
2008,5,Michigan St.,16,,,,,,,58,,,,,,2
2021,6,USC,8,,,,,,,35,,,,,,2
2019,6,Maryland,32,,,,,,,30,,,,,,2
2017,6,Cincinnati,32,,,,,,,93,,,,,,2
2014,6,Ohio St.,64,,,,,,,127,,,,,,2
2012,6,UNLV,64,,,,,,,35,,,,,,2
2011,6,Xavier,64,,,,,,,43,,,,,,2
2010,6,Tennessee,8,,,,,,,35,,,,,,2
2022,7,Murray St.,32,,,,,,,32,47,,,,,2
2021,7,Clemson,64,,,,,,,96,81,,,,,2
2021,7,Connecticut,64,,,,,,,46,,,,,,2
2019,7,Cincinnati,64,,,,,,,74,,,,,,2
2015,7,VCU,64,,,,,,,38,,,,,,2
2014,7,Texas,32,,,,,,,66,,,,,,2
2013,7,San Diego St.,32,,,,,,,48,,,,,,2
2012,7,Notre Dame,64,,,,,,,104,,,,,,2
2011,7,Washington,32,,,,,,,37,,,,,,2
2010,7,Oklahoma St.,64,,,,,,,65,,,,,,2
2009,7,California,64,,,,,,,32,,,,,,2
2008,7,Butler,32,,,,,,,68,,,,,,2
2021,8,North Carolina,64,,,,,,,35,,,,,,2
2018,8,Missouri,64,,,,,,,30,,,,,,2
2016,8,Colorado,64,,,,,,,77,,,,,,2
2014,8,Colorado,64,,,,,,,66,,,,,,2
2014,8,Gonzaga,32,,,,,,,73,,,,,,2
2011,8,Butler,2,,,,,,,34,,,,,,2
2008,8,BYU,64,,,,,,,52,,,,,,2
2008,8,UNLV,32,,,,,,,44,53,,,,,2
2022,9,Creighton,32,,,,,,,93,,,,,,2
2021,9,St. Bonaventure,64,,,,,,,84,,,,,,2
2017,9,Michigan St.,32,,,,,,,39,43,,,,,2
2016,9,Cincinnati,64,,,,,,,136,,,,,,2
2016,9,Connecticut,32,,,,,,,68,,,,,,2
2012,9,Saint Louis,32,,,,,,,36,,,,,,2
2008,9,Texas A&M,32,,,,,,,152,,,,,,2
2022,10,Loyola Chicago,64,,,,,,,62,,,,,,2
2021,10,Rutgers,32,,,,,,,37,,,,,,2
2021,10,Maryland,32,,,,,,,73,,,,,,2
2021,10,Virginia Tech,64,,,,,,,32,30,,,,,2
2019,10,Minnesota,32,,,,,,,117,,,,,,2
